host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
t,Treme - Lafitte,Private room in townhouse,Private room,2,1.5 baths,1.0,1.0,126.0,2,14,25,50,50,294,193,4.93,4.93,4.95,4.94,4.98,4.5,4.86,f
t,Marigny,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,275.0,3,21,18,45,72,149,195,4.5,4.57,4.19,4.77,4.73,4.62,4.51,f
t,Bywater,Entire residential home,Entire home/apt,4,1 bath,2.0,2.0,108.0,3,30,3,9,9,9,497,4.83,4.92,4.72,4.94,4.91,4.68,4.81,t
f,Broadmoor,Entire residential home,Entire home/apt,8,1.5 baths,3.0,4.0,155.0,30,1125,30,60,90,90,156,4.47,4.49,4.11,4.82,4.86,4.18,4.45,f
t,Bayou St. John,Entire rental unit,Entire home/apt,6,2 baths,3.0,5.0,250.0,30,1125,29,59,89,89,96,4.94,4.96,4.88,4.99,5.0,4.94,4.95,t
f,Seventh Ward,Entire residential home,Entire home/apt,10,3.5 baths,5.0,6.0,450.0,3,28,15,29,35,223,114,4.81,4.86,4.82,4.91,4.83,4.76,4.79,f
t,Holy Cross,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,109.0,30,150,20,50,80,170,100,4.82,4.85,4.93,4.99,4.97,4.49,4.79,f
t,Central City,Entire rental unit,Entire home/apt,2,1 bath,2.0,2.0,100.0,30,365,0,0,1,189,47,4.66,4.83,4.36,4.96,4.89,4.91,4.64,f
f,Central City,Entire condominium (condo),Entire home/apt,4,1 bath,2.0,2.0,188.0,3,1125,21,41,71,71,45,4.82,4.84,4.96,4.87,4.67,4.69,4.67,t
f,Central City,Entire condominium (condo),Entire home/apt,4,1 bath,2.0,2.0,260.0,3,1125,0,0,4,4,59,4.88,4.89,4.98,4.91,4.93,4.7,4.66,t
t,Marigny,Entire residential home,Entire home/apt,6,2.5 baths,3.0,3.0,475.0,4,1125,0,0,0,0,172,4.96,4.89,4.89,4.98,4.97,4.96,4.85,f
f,Leonidas,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,125.0,31,90,5,16,16,261,106,4.82,4.9,4.62,4.91,4.94,4.83,4.79,f
f,East Carrollton,Entire townhouse,Entire home/apt,4,2 baths,2.0,2.0,50.0,30,1125,0,0,0,98,80,4.74,4.75,4.72,4.91,4.93,4.76,4.77,f
t,Irish Channel,Entire residential home,Entire home/apt,8,3 baths,4.0,4.0,570.0,1,1125,0,0,0,0,55,4.76,4.89,4.56,4.96,4.96,4.92,4.72,f
